"country","year","fdi_finance","fdi_mining","fdi_tech","cow_code","iso3c","USA","IdealPointDistance","agree","IdealPointFP.y","ln_fdi_finance","ln_fdi_mining","ln_fdi_tech","has_finance","has_mining","has_tech","gdp_constant","gdp_per_capita","trade_openness","distance_to_us","ln_gdp","ln_gdp_pc","ln_trade","ln_distance","country_fe","year_fe"
"Malaysia",2005,422,NA,191,820,"MYS",2,3.794954,0.212871287128713,-1.060286,6.04737217904628,NA,5.25749537202778,1,0,1,186898768708.901,7234.02442689141,203.854644595624,NA,25.9538329634189,8.88655078918472,5.31740721338453,NA,"Malaysia","2005"
"Malaysia",2006,486,NA,216,820,"MYS",2,3.3531428,0.204545454545455,-0.6572378,6.18826412308259,NA,5.37989735354046,1,0,1,197336779111.682,7469.8106921211,202.577146840398,NA,26.0081776447245,8.91862493538554,5.31112078604652,NA,"Malaysia","2006"
"Malaysia",2007,NA,NA,240,820,"MYS",2,3.917282,0.114583333333333,-1.233061,NA,NA,5.48479693349065,0,0,1,209766600383.972,7769.59693350488,192.465506357652,NA,26.0692613228282,8.95797356730636,5.25991694991934,NA,"Malaysia","2007"
"Malaysia",2008,502,2258,207,820,"MYS",2,3.3201088,0.196969696969697,-0.7253618,6.22059017009974,7.722677516468,5.33753807970132,1,1,1,219902039818.778,7976.11785374773,176.668324785148,NA,26.1164480105841,8.98420708757912,5.17427410341032,NA,"Malaysia","2008"
"Malaysia",2009,342,2602,312,820,"MYS",2,3.3725378,0.285714285714286,-0.9768388,5.83773044716594,7.86441990499457,5.74620319054015,1,1,1,216573759299.08,7700.46111294033,162.558970452699,NA,26.1011970159706,8.9490354908462,5.09104083103283,NA,"Malaysia","2009"
"Malaysia",2010,577,3647,618,820,"MYS",2,3.511303,0.351648351648352,-1.123774,6.35957386867238,8.20193435119422,6.4281052726846,1,1,1,232654030399.227,8118.92270511981,157.944764886771,NA,26.1728183389608,9.00195275257077,5.06224538258214,NA,"Malaysia","2010"
"Malaysia",2011,512,3256,653,820,"MYS",2,3.1599798,0.455445544554455,-0.7269828,6.24027584517077,8.08856180527623,6.4831073514572,1,1,1,244970531973.676,8400.32248683558,154.937684607226,NA,26.2244037625987,9.03602537538443,5.0430230012895,NA,"Malaysia","2011"
"Malaysia",2012,828,4431,677,820,"MYS",2,3.0661559,0.388297872340426,-0.6538409,6.7202201551353,8.39660622842712,6.5191472879404,1,1,1,258378881826.473,8710.52671359902,147.841754766013,NA,26.2776928788373,9.07228754030279,4.99614247718179,NA,"Malaysia","2012"
"Malaysia",2013,1823,5007,763,820,"MYS",2,3.045362,0.436170212765957,-0.536948,7.50878717063428,8.51879191277993,6.63856778916652,1,1,1,270506469604.101,8964.80724896203,142.720991464873,NA,26.3235618521525,9.10106188541345,4.96089161573073,NA,"Malaysia","2013"
"Malaysia",2014,2902,406,875,820,"MYS",2,3.1648484,0.36734693877551,-0.6923184,7.97349996402463,6.0088131854426,6.77536609093639,1,1,1,286755041078.03,9341.73055971278,138.312231176843,NA,26.3818941728468,9.14224679882561,4.92951367421674,NA,"Malaysia","2014"
"Malaysia",2015,2866,404,569,820,"MYS",2,3.1341389,0.347368421052632,-0.6861919,7.96102146588337,6.00388706710654,6.3456363608286,1,1,1,301355266964.947,9648.6797937523,131.37007244526,NA,26.431555694622,9.17457637603625,4.87801832094096,NA,"Malaysia","2015"
"Malaysia",2016,2667,535,346,820,"MYS",2,3.1048098,0.483050847457627,-0.6628298,7.88908440703551,6.2841341610708,5.84932477994686,1,1,1,314764917575.088,9901.47960179812,126.8990100257,NA,26.4750919037441,9.20043947968252,4.84339157347399,NA,"Malaysia","2016"
"Malaysia",2017,2604,484,203,820,"MYS",2,3.2564923,0.286290322580645,-0.7112323,7.86518795418747,6.18414889093748,5.31811999384422,1,1,1,333061328477.268,10293.7629205362,133.155173371956,NA,26.5315924795711,9.23929344910779,4.89151516521868,NA,"Malaysia","2017"
"Malaysia",2018,1908,421,236,820,"MYS",2,3.3556162,0.294270833333333,-0.6617422,7.55433482372575,6.04500531403601,5.46806014113513,1,1,1,349191778300.005,10610.1950240479,130.402625502126,NA,26.5788871162475,9.26957061259347,4.87062678350862,NA,"Malaysia","2018"
